Year,January,February,March,April,May,June,July,August,September,October,November,December
1816,-1.8039999999999998,-3.437,2.9299999999999997,9.349,15.344999999999999,18.264000000000003,19.206000000000003,19.116999999999997,14.945,7.158999999999999,2.586,-2.097
1817,-2.933,0.717,4.3,9.845,14.148,17.752000000000002,19.469,20.177999999999997,13.469000000000001,7.878,3.4749999999999996,-3.7769999999999997
1818,-2.9339999999999997,-2.191,5.319,11.81,16.005,20.565,20.602,19.828999999999997,15.261000000000001,8.514,4.061999999999999,-1.379
1819,-3.4259999999999997,-1.111,1.9889999999999999,8.774000000000001,14.391,19.008000000000003,20.147000000000002,19.031,15.870000000000001,10.722999999999999,3.622,-2.189
1820,-4.452,-1.272,3.739,10.908,16.036,19.601000000000003,20.391000000000002,18.43,15.802000000000001,9.202,2.8339999999999996,-2.524
1821,-1.4549999999999998,0.485,4.566,9.489,15.828999999999999,18.868000000000002,20.044,19.578999999999997,14.766000000000002,10.113,4.531,-1.066
1822,-1.6979999999999997,1.341,7.0920000000000005,10.182,15.1,19.492,21.326,19.685,15.267000000000001,9.379,3.16,-2.826
1823,-2.7969999999999997,-1.197,4.353,9.487,15.113999999999999,20.349,21.299000000000003,19.624,14.787,9.026,2.8949999999999996,-1.429
1824,-1.8309999999999997,-0.438,4.559,10.023,15.523,19.803,21.901,19.892999999999997,16.232000000000003,9.793,4.542,1.331
1825,-1.2329999999999997,-0.055,4.607,10.886,15.306,20.188000000000002,21.1,19.741,15.702000000000002,9.625,4.975,-0.625
1826,-2.485,-1.628,4.447,10.203,16.406,19.556,21.669,19.613999999999997,15.675,10.009,5.1499999999999995,1.079
1827,-0.5989999999999998,0.618,5.43,11.271,16.394,19.996000000000002,21.84,20.159,15.445,10.110999999999999,4.83,-1.169
1828,-3.8979999999999997,-1.282,5.032,10.291,15.849,20.584,21.757,20.096,14.624000000000002,10.245999999999999,4.553,-0.74
1829,-2.4709999999999996,-1.531,4.151,9.494,15.899,19.269000000000002,21.546000000000003,19.863999999999997,15.14,10.261,3.328,-1.466
1830,-1.9539999999999997,0.795,3.767,10.542,14.780999999999999,19.238,22.096,19.869,14.936000000000002,9.623999999999999,6.29,0.6799999999999999
1831,-2.4349999999999996,-0.832,3.886,9.367,15.309999999999999,19.629,20.734,19.002,14.484000000000002,9.565,3.011,-1.7870000000000001
1832,-2.5439999999999996,-1.093,4.117,9.816,14.981,19.135,20.857000000000003,18.546999999999997,14.833000000000002,10.299999999999999,3.139,-2.277
1833,-1.9479999999999997,-0.186,3.492,9.532,15.122,19.373,20.793000000000003,19.412,15.678,9.458,5.569,-0.504
1834,-4.064,-0.42,5.088,9.748,15.78,19.165000000000003,21.124000000000002,19.791,16.139000000000003,10.193999999999999,5.059,-0.13600000000000004
1835,-1.1709999999999998,-0.111,3.65,9.427,14.370999999999999,18.378,19.995,18.467,14.38,9.431,2.388,-2.8419999999999996
1836,-2.561,-0.782,4.724,9.233,14.573,18.98,20.715,18.904999999999998,15.292000000000002,10.341999999999999,2.902,-0.779
1837,-2.0989999999999998,-0.023,2.8289999999999997,8.192,14.299,18.666,20.607000000000003,19.639999999999997,15.425,9.254999999999999,3.229,-0.962
1838,-5.147,-1.817,3.1109999999999998,9.133,14.392999999999999,19.107,21.553,20.026,15.621000000000002,10.128,3.578,-1.1520000000000001
1839,-2.074,0.651,1.887,9.923,14.825,19.1,21.629,20.503,15.485000000000001,9.931999999999999,2.713,-2.913
1840,-1.7409999999999999,-0.946,2.9619999999999997,9.744,15.494,19.776,21.844,19.576,15.495000000000001,9.097,2.9269999999999996,-1.8270000000000002
1841,-3.7169999999999996,-0.706,2.662,8.657,15.273,19.459,21.671000000000003,20.136,15.464000000000002,10.275,3.514,-1.065
1842,-2.5199999999999996,-0.075,5.314,10.279,14.93,18.846,20.647000000000002,19.764999999999997,15.454,9.83,3.6159999999999997,0.08099999999999996
1843,-1.2359999999999998,0.793,4.046,9.729,14.373,18.85,21.028000000000002,19.788,15.793000000000001,10.119,3.739,0.36299999999999993
1844,-2.117,-0.764,4.124,9.592,14.741999999999999,19.041,20.959,19.605,15.397000000000002,10.152,3.0,-2.167
1845,-1.6409999999999998,-1.462,3.9299999999999997,9.982,14.862,19.138,21.253,19.945999999999998,15.761000000000001,9.447,3.737,-2.158
1846,-0.8589999999999998,0.364,5.7989999999999995,9.211,15.395,20.037000000000003,22.081000000000003,20.569,16.186,9.828,3.9019999999999997,-0.08700000000000002
1847,-2.008,0.34,2.9779999999999998,9.641,14.882,19.034000000000002,21.318,19.881,16.046000000000003,10.152999999999999,4.492,-2.1189999999999998
1848,-4.149,0.808,4.025,9.901,14.883,19.303,21.308,19.619,15.426000000000002,10.288,3.6959999999999997,-1.4220000000000002
1849,-2.165,-0.189,4.886,8.87,14.511,19.307000000000002,21.333000000000002,19.961,15.537,10.568,4.661,-2.222
1850,-3.779,0.354,4.313,9.151,14.334,19.232,21.374000000000002,20.305,15.891000000000002,9.572,3.3659999999999997,-1.2590000000000001
1851,-2.057,-0.338,3.471,9.065,15.612,19.597,21.505000000000003,20.185,16.313000000000002,10.652,3.4269999999999996,-0.66
1852,-2.0269999999999997,-0.631,3.04,9.328,15.748999999999999,19.422,21.345000000000002,19.644,15.915000000000001,10.506,3.0309999999999997,-0.21000000000000002
1853,-2.667,-1.478,3.5359999999999996,9.299,15.448,19.566000000000003,21.613,20.31,16.187,10.209,3.5119999999999996,-0.883
1854,-3.2489999999999997,-1.156,4.268,9.692,15.622,19.059,21.654,20.298,16.067,11.458,4.356,-0.34800000000000003
1855,-1.6689999999999998,0.101,4.213,10.966,15.978,19.48,20.981,19.991,15.756000000000002,10.071,3.601,-2.31
1856,-2.07,-1.236,3.524,9.769,15.213,19.990000000000002,21.224,19.548,15.521,9.687,3.574,-0.797
1857,-2.955,-0.705,3.81,8.855,14.488999999999999,18.774,20.934,19.666,15.641000000000002,9.817,3.683,-0.47300000000000003
1858,-1.9019999999999997,-0.874,4.176,10.484,15.571,19.281000000000002,20.906000000000002,19.68,15.786000000000001,10.53,4.4959999999999996,-1.6300000000000001
1859,-2.307,-0.242,4.699,10.685,15.958,19.553,20.880000000000003,19.749,15.666,10.315,4.324,-1.074
1860,-2.768,-0.764,2.691,9.759,15.42,19.628,21.226000000000003,20.262999999999998,16.497,10.413,3.375,-2.768
1861,-4.356,-1.024,4.124,9.652,15.065,19.467000000000002,21.207,20.113999999999997,15.984000000000002,10.008,4.194,-1.24
1862,-4.039999999999999,-1.79,3.76,9.467,15.353,19.273,21.003,19.669999999999998,15.645000000000001,9.802,3.0589999999999997,-2.564
1863,-1.2679999999999998,0.139,4.3389999999999995,10.171,15.786,19.373,21.051000000000002,19.778,15.812000000000001,9.818999999999999,3.8699999999999997,-1.127
1864,-3.0279999999999996,-0.566,4.02,9.775,15.516,19.880000000000003,21.405,19.91,15.905000000000001,10.161,3.525,-2.077
1865,-1.4619999999999997,-1.165,3.1799999999999997,9.339,15.456999999999999,19.723000000000003,21.261000000000003,20.038999999999998,16.399,10.514999999999999,4.6259999999999994,-1.371
1866,-1.6729999999999998,-0.943,3.799,9.855,15.344,19.137,21.545,19.843999999999998,16.019000000000002,9.933,4.43,0.09199999999999997
1867,-2.139,-0.457,3.8739999999999997,10.177,14.946,19.57,21.209,19.976,16.331000000000003,10.773,5.435,-0.201
1868,-2.9,-1.338,3.903,10.142,15.791,19.461000000000002,21.569000000000003,20.133,16.016000000000002,10.828,3.54,-0.861
1869,-2.3899999999999997,0.822,3.777,9.802,15.786999999999999,19.69,21.39,20.307,16.743000000000002,10.439,4.3069999999999995,-1.5110000000000001
1870,-2.582,-1.218,3.965,9.743,15.876999999999999,20.005000000000003,21.656000000000002,19.910999999999998,16.533,10.247,4.043,-2.11
1871,-3.276,-1.499,4.213,10.422,15.285,19.427,21.360000000000003,20.313,16.175,10.629,3.364,-1.2710000000000001
1872,-3.134,-0.95,4.24,9.846,15.852,19.395,21.408,20.363999999999997,16.464000000000002,10.738999999999999,3.65,-1.713
1873,-2.7809999999999997,0.062,4.096,9.404,15.485999999999999,19.66,21.432000000000002,20.205,15.924000000000001,10.738999999999999,4.226999999999999,-0.385
1874,-1.9689999999999999,-0.026,3.55,10.181,15.987,19.805,21.252000000000002,20.348,16.732000000000003,10.761,4.295,-0.696
1875,-3.3019999999999996,-0.953,3.6959999999999997,9.582,15.306,19.667,21.281000000000002,19.916999999999998,15.89,10.115,2.905,-1.4280000000000002
1876,-2.7539999999999996,-0.519,4.052,10.153,15.084,19.523,21.32,19.993,16.262,10.452,3.423,-2.169
1877,-2.5199999999999996,-0.3,4.7379999999999995,9.886,15.559,19.557000000000002,21.634,20.506,16.604000000000003,10.658999999999999,4.833,-1.162
1878,-2.8409999999999997,0.584,6.087,10.84,15.496,20.214000000000002,21.671000000000003,20.616999999999997,16.622,10.825,4.992,-0.7190000000000001
1879,-2.3539999999999996,-0.192,4.273,9.937,15.475,19.588,21.288,19.715999999999998,16.168000000000003,10.856,3.989,-1.603
1880,-2.8689999999999998,-1.155,3.9739999999999998,9.427,15.637,19.5,21.174,20.121,16.09,10.304,4.27,-1.076
1881,-2.195,-0.483,4.506,10.439,15.65,19.088,21.349,20.247999999999998,16.212,10.362,3.663,-1.113
1882,-1.6409999999999998,0.113,4.437,9.688,15.398,19.256,20.844,20.119,16.281000000000002,9.879,3.3819999999999997,-2.046
1883,-3.3149999999999995,-1.508,4.328,9.76,15.358,19.537000000000003,21.164,19.808999999999997,16.0,10.491999999999999,3.2379999999999995,-0.8520000000000001
1884,-2.538,-0.818,3.0199999999999996,9.084,14.745999999999999,18.888,20.852,19.476,15.741000000000001,10.142999999999999,3.526,-1.078
1885,-3.893,-1.003,4.147,9.289,14.943,19.064,21.042,19.724999999999998,15.869000000000002,10.158999999999999,3.7539999999999996,-0.456
1886,-3.493,-1.62,3.48,9.862,15.25,19.115000000000002,21.377000000000002,19.828,16.101000000000003,10.138,3.4899999999999998,-0.688
1887,-4.214,-1.186,3.812,9.708,15.594,19.295,21.238,19.45,16.319000000000003,10.227,3.955,-1.314
1888,-3.0329999999999995,-1.359,3.577,9.744,15.148,19.202,21.344,19.866,16.136000000000003,10.663,3.9899999999999998,-1.214
1889,-3.2039999999999997,0.197,4.545,10.564,15.622,19.596,21.272000000000002,19.999,15.982000000000001,10.206,3.1899999999999995,-1.266
1890,-3.0919999999999996,-0.877,3.474,9.668,14.991,19.21,21.235000000000003,19.791,15.998000000000001,10.869,3.489,-1.191
1891,-2.916,-1.445,4.178,9.568,15.29,19.198,21.019000000000002,20.002,16.418000000000003,10.279,3.338,-0.404
1892,-2.852,-0.426,3.567,9.534,15.182,19.761000000000003,20.989,19.88,16.399,10.975,3.0949999999999998,-1.237
1893,-4.548,-1.727,4.389,10.028,15.276,19.543000000000003,21.37,19.956,16.486,10.802,4.389,-1.074
1894,-3.152,-0.201,4.568,9.64,15.584,19.271,21.19,19.965999999999998,16.256,10.722999999999999,3.71,-0.9970000000000001
1895,-3.521,-1.295,3.9509999999999996,10.264,15.372,19.305,21.133000000000003,19.781,16.345000000000002,10.637,4.1579999999999995,-0.865
1896,-2.476,-0.517,3.49,9.177,15.433,19.848000000000003,21.347,20.031,16.423000000000002,10.985,3.633,-0.988
1897,-2.8899999999999997,-0.837,3.501,10.134,15.951,19.599,21.560000000000002,20.285999999999998,16.646,10.802999999999999,3.9179999999999997,-1.085
1898,-1.8179999999999998,-0.906,2.899,9.991999999999999,15.497,19.674,21.306,20.163,16.383000000000003,10.376,3.7859999999999996,-0.768
1899,-2.102,-0.926,3.811,10.16,15.576,19.242,21.244,20.235,16.761000000000003,11.148,5.179,-1.441
1900,-3.553,-0.39,4.84,10.195,15.879,19.565,21.211000000000002,20.282999999999998,16.551000000000002,11.283,4.1,-0.526
1901,-2.654,-0.087,5.199,10.675,15.667,19.703,21.499000000000002,20.308999999999997,16.449,10.488,4.351999999999999,-0.97
1902,-2.0469999999999997,0.591,4.201,9.78,15.228,19.36,21.175,20.134999999999998,16.256,10.267,3.3549999999999995,-1.728
1903,-2.2249999999999996,0.459,4.2459999999999996,9.771,15.295,19.133000000000003,21.031000000000002,19.808,16.095000000000002,10.35,3.949,-1.205
1904,-3.01,-0.682,4.013,9.605,15.352,19.247,20.813000000000002,19.958,15.969000000000001,10.529,4.816,-0.736
1905,-2.3609999999999998,-1.495,3.8899999999999997,9.591,15.383,19.284000000000002,21.166,20.035999999999998,16.466,10.649,4.785,-0.863
1906,-2.835,-1.129,4.342,10.676,15.697,19.761000000000003,21.200000000000003,20.206999999999997,16.439,10.943999999999999,3.852,-0.12800000000000003
1907,-2.9499999999999997,-1.225,3.923,9.483,14.777,18.986,20.836000000000002,19.862,16.27,10.939,3.5469999999999997,-1.291
1908,-2.5229999999999997,-0.378,3.3289999999999997,9.836,15.706999999999999,19.643,21.286,19.9,16.615000000000002,10.495,3.573,-1.2670000000000001
1909,-3.54,-0.495,3.919,9.423,15.174999999999999,19.185000000000002,21.147000000000002,20.221,16.541,10.84,4.8389999999999995,-0.8300000000000001
1910,-2.274,-0.397,4.0,10.121,15.495,19.303,21.407,20.101,16.229000000000003,10.722,3.7479999999999998,-1.5490000000000002
1911,-3.144,-0.785,3.735,10.098,15.359,19.478,21.195,20.011,16.287000000000003,10.9,4.316,-0.8920000000000001
1912,-2.4869999999999997,0.119,3.46,10.236,15.725,19.681,20.76,19.386,15.677000000000001,9.649,3.8569999999999998,-1.27
1913,-2.6679999999999997,-0.891,3.8369999999999997,9.913,15.259,19.322000000000003,21.038,20.174999999999997,16.334,10.575,4.4319999999999995,0.01799999999999996
1914,-1.081,0.079,4.216,9.941,15.77,19.696,21.292,20.128999999999998,16.405,10.932,4.063,-0.617
1915,-2.4589999999999996,0.024,4.396,10.689,16.056,19.622,21.362000000000002,20.15,16.354000000000003,10.415,4.6339999999999995,-0.47900000000000004
1916,-2.0549999999999997,-0.293,4.151,10.042,15.43,19.257,21.197000000000003,20.032999999999998,16.135,10.596,4.087,-2.057
1917,-2.496,-0.634,3.79,9.882,15.03,19.239,21.306,20.019,16.395,10.091,4.454,-2.12
1918,-2.6689999999999996,-0.599,4.396,9.623,15.046999999999999,19.126,21.097,19.918,16.536,11.116999999999999,4.035,-1.5630000000000002
1919,-2.689,-0.39,3.9819999999999998,10.416,15.349,19.412000000000003,21.277,20.433,16.683,11.014999999999999,3.851,-1.127
1920,-1.763,-0.476,4.763,10.343,15.658999999999999,19.455000000000002,21.407,20.241,16.359,10.6,3.8709999999999996,-1.733
1921,-1.432,0.034,4.4959999999999996,10.447,15.674999999999999,19.856,21.73,20.096999999999998,16.506,10.962,4.3309999999999995,-0.452
1922,-2.643,-1.074,4.5409999999999995,10.344,15.713,19.757,21.377000000000002,20.066,16.243000000000002,10.671,4.4959999999999996,-0.401
1923,-2.122,-0.833,4.0889999999999995,9.548,15.324,19.558,21.161,20.169999999999998,16.556,11.286999999999999,4.912,-0.15000000000000002
1924,-2.4099999999999997,-0.231,4.813,10.047,15.763,19.584,21.378,20.253999999999998,16.629,10.913,5.0489999999999995,-0.673
1925,-2.256,-0.511,4.617,10.446,15.572,19.408,21.249000000000002,20.258,16.78,10.866,4.843999999999999,0.337
1926,-1.0239999999999998,0.439,5.27,10.015,15.408,19.512,21.255000000000003,20.345,16.597,11.202,4.7139999999999995,-0.845
1927,-2.469,-0.179,3.824,9.968,15.767,19.648,21.542,20.22,16.927,11.602,4.765,-1.055
1928,-1.513,0.173,4.149,10.064,15.826,19.441000000000003,21.439,20.165,16.568,11.077,4.672,-0.28300000000000003
1929,-2.8689999999999998,-1.466,4.635,10.16,15.564,19.267,21.079,20.206999999999997,16.352,11.064,4.522,-1.8170000000000002
1930,-2.3779999999999997,-0.084,5.007,10.176,15.641,19.562,21.585,20.529,16.48,10.921999999999999,5.122999999999999,-0.30200000000000005
1931,-1.9549999999999998,-0.832,4.532,10.132,15.507,20.046,21.738,20.698999999999998,17.082,11.812,4.903,-0.08600000000000002
1932,-0.8799999999999999,-0.289,4.242,10.847,15.789,19.786,21.527,20.34,17.029,11.378,4.135,-0.65
1933,-2.651,-0.724,4.031,10.059,15.504999999999999,19.414,21.446,20.349,16.474,10.85,4.4239999999999995,-1.065
1934,-2.178,0.856,4.084,9.995,16.033,19.665000000000003,21.385,20.238999999999997,16.321,11.283999999999999,5.096,0.065
1935,-2.588,1.338,4.817,9.753,15.357,19.681,21.51,20.412,16.779,11.209999999999999,3.639,-0.8089999999999999
1936,-2.5309999999999997,-0.921,4.338,10.133,15.761,19.725,21.752000000000002,20.345,16.691000000000003,11.083,4.709,-0.069
1937,-2.2129999999999996,0.478,4.072,10.185,15.984,19.948,21.565,20.514999999999997,17.187,11.555,4.729,-0.716
1938,-1.5809999999999997,0.378,5.091,11.122,15.964,19.585,21.594,20.619,17.202,11.530999999999999,5.17,-0.706
1939,-1.7039999999999997,0.196,4.306,10.435,15.966,19.837,21.613,20.519,16.761000000000003,10.907,4.834,1.3559999999999999
1940,-2.436,0.341,4.797,10.967,15.879999999999999,19.831,21.607000000000003,20.296,16.934,11.168999999999999,4.619,0.006999999999999951
1941,-1.8249999999999997,0.606,4.61,10.484,16.005,19.988,21.748,20.532,16.535,11.395999999999999,4.294,-0.5
1942,-1.5739999999999998,-0.476,4.657,10.456,15.895,20.006,21.425,20.153,16.735000000000003,11.513,4.955,-0.018000000000000016
1943,-2.367,0.476,4.452,10.83,16.19,19.503,21.548000000000002,20.523,16.823,11.641,4.891,0.35899999999999993
1944,-0.8619999999999999,0.625,5.096,10.531,16.082,19.84,21.539,20.41,17.055,11.501,4.463,-0.8440000000000001
1945,-2.1799999999999997,-0.73,4.531,10.696,15.674999999999999,19.726000000000003,21.362000000000002,20.683999999999997,16.872,11.366999999999999,4.585999999999999,-1.143
1946,-1.5539999999999998,0.37,4.695,11.056,15.761,19.668000000000003,21.476000000000003,20.348,16.622,11.025,4.710999999999999,-1.216
1947,-2.266,-0.017,5.329,10.858,15.868,19.708000000000002,21.458000000000002,20.343999999999998,16.955000000000002,12.013,4.955,-0.35300000000000004
1948,-1.0159999999999998,0.033,4.311,10.66,16.219,19.986,21.534000000000002,20.43,16.898,11.327,4.802,-0.8200000000000001
1949,-1.319,-0.406,4.505,10.573,16.041999999999998,19.630000000000003,21.262,20.381999999999998,16.623,11.333,4.667,-0.825
1950,-2.884,-0.601,4.635,10.058,15.849,19.707,21.091,19.912,16.603,10.988999999999999,3.706,-0.556
1951,-2.638,-1.117,4.24,10.532,16.094,19.629,21.484,20.607,17.139000000000003,11.341999999999999,4.584,0.39299999999999996
1952,-1.6989999999999998,0.162,4.09,10.57,15.985,19.957,21.692,20.442999999999998,16.946,10.767999999999999,3.7779999999999996,-0.493
1953,-1.5909999999999997,0.677,5.189,11.082,16.189,20.084,21.727,20.564999999999998,16.853,11.391,4.306,-0.09000000000000002
1954,-2.835,-0.122,4.35,10.179,15.549999999999999,19.859,21.441000000000003,20.471999999999998,16.881,11.309999999999999,5.208,-0.674
1955,-1.017,-0.054,3.731,10.023,15.908,19.864,21.435000000000002,20.514,16.717000000000002,11.498999999999999,4.276,-0.881
1956,-2.2479999999999998,-0.709,4.098,9.913,15.411,19.643,21.188000000000002,19.959,16.23,10.62,4.093,-0.799
1957,-2.36,-0.228,4.262,10.026,15.597999999999999,19.830000000000002,21.415000000000003,20.391,16.889000000000003,10.901,4.672,0.22200000000000003
1958,-0.9509999999999998,0.468,4.721,10.325,15.932,19.619,21.39,20.372999999999998,16.57,11.014999999999999,4.622,-0.08800000000000002
1959,-1.5789999999999997,0.076,5.247,10.67,15.714,19.949,21.404,20.392999999999997,16.805,10.759,4.0889999999999995,-0.42700000000000005
1960,-1.9369999999999998,0.952,3.6029999999999998,10.122,15.623999999999999,20.086000000000002,21.411,20.416,16.817,11.062999999999999,4.302,0.37799999999999995
1961,-1.7139999999999997,0.569,5.059,10.58,15.964,19.977,21.429000000000002,20.276999999999997,16.539,10.658,4.6339999999999995,-0.607
1962,-1.4019999999999997,0.687,5.131,10.732,15.998,19.505000000000003,21.588,20.326999999999998,16.637,11.346,4.718999999999999,0.0
1963,-1.6449999999999998,1.329,4.5489999999999995,10.286,15.589,19.616,21.606,20.5,16.961000000000002,11.86,5.3309999999999995,-0.381
1964,-1.8849999999999998,-0.276,4.005,9.892,15.712,19.630000000000003,21.335,20.075999999999997,16.353,10.629999999999999,4.444999999999999,-0.672
1965,-1.787,-0.603,4.651,9.919,15.735,19.519000000000002,21.259,19.987,16.392000000000003,11.161,4.285,-0.396
1966,-2.3,0.066,4.617,9.943999999999999,15.796999999999999,19.861,21.606,20.607,16.903000000000002,10.911999999999999,4.262,-0.9299999999999999
1967,-2.306,-0.526,4.923,10.451,16.159,19.594,21.443,20.241,16.551000000000002,11.616,4.632,-0.21500000000000002
1968,-2.522,-0.074,5.849,10.506,15.751999999999999,19.526,21.164,20.046,16.524,10.94,4.179,-0.986
1969,-3.381,-1.251,4.364,10.352,15.743,19.614,21.484,20.29,16.574,10.946,5.045999999999999,0.201
1970,-2.004,0.581,4.365,10.483,15.754,19.765,21.573,20.293,16.66,10.698,4.585,-0.825
1971,-1.8239999999999998,-0.481,4.285,10.202,15.792,19.681,21.299000000000003,20.2,16.732000000000003,11.061,5.082,-0.268
1972,-3.203,-0.99,4.653,10.377,15.568999999999999,19.645,21.333000000000002,20.282,16.176000000000002,10.927999999999999,4.076,-0.617
1973,-1.8239999999999998,0.917,5.346,10.829,16.136,20.103,21.575000000000003,20.5,16.671000000000003,11.11,4.603,-0.018000000000000016
1974,-2.675,-0.7,4.7379999999999995,10.52,15.741,19.677,21.412000000000003,20.235,16.51,10.612,4.287,-0.7290000000000001
1975,-1.4789999999999996,0.272,5.182,10.793,16.043,19.933,21.517000000000003,20.253,16.85,11.033,4.29,-0.42100000000000004
1976,-1.5499999999999998,-0.173,3.835,10.643,15.666,19.522000000000002,21.115000000000002,20.076999999999998,16.682000000000002,10.02,3.9739999999999998,-0.753
1977,-2.6519999999999997,0.339,5.437,11.116999999999999,16.371,20.257,21.546000000000003,20.264,16.821,10.772,5.278,-0.35900000000000004
1978,-1.8479999999999999,0.179,5.056,10.721,15.811,19.564,21.188000000000002,20.012,16.68,11.027999999999999,4.911,-0.30300000000000005
1979,-2.199,-0.493,4.921,10.079,15.945,19.871000000000002,21.517000000000003,20.264,16.868000000000002,11.328,4.749,0.6719999999999999
1980,-1.8459999999999999,0.524,4.403,10.73,16.219,20.019000000000002,21.626,20.436999999999998,16.767000000000003,11.270999999999999,5.201,-0.13300000000000003
1981,-0.4249999999999998,1.138,5.93,11.129999999999999,16.04,20.211000000000002,21.64,20.715,16.837,11.23,4.954,0.704
1982,-2.312,0.127,4.367,10.715,15.895999999999999,19.674,21.610000000000003,20.249,16.846,10.916,4.044,0.197
1983,-1.1749999999999998,0.609,5.117,10.463,15.863,19.911,21.852,20.852,17.156000000000002,11.234,5.7509999999999994,-0.171
1984,-1.654,-0.201,5.032,10.474,16.368,19.909000000000002,21.508000000000003,20.502,16.529,10.985,4.143,-1.4060000000000001
1985,-1.795,-0.707,4.688,10.613,16.076,19.865000000000002,21.209,20.423,16.602,11.04,4.442,-0.17700000000000002
1986,-1.1229999999999998,0.693,5.16,10.827,16.114,19.961000000000002,21.407,20.398,16.584,11.036999999999999,4.359,-0.34900000000000003
1987,-1.6139999999999999,1.289,4.559,10.467,16.198999999999998,19.915000000000003,21.863,20.642999999999997,17.211000000000002,11.072,4.327999999999999,0.5489999999999999
1988,-1.2409999999999997,0.317,5.262,11.14,16.434,20.450000000000003,22.083000000000002,20.712999999999997,17.178,11.453,4.894,0.6539999999999999
1989,-1.8369999999999997,0.643,5.435,10.78,16.181,20.03,21.844,20.584999999999997,16.933,11.44,4.63,0.317
1990,-1.436,0.757,6.6850000000000005,11.295,16.453,20.441000000000003,21.699,20.735,17.063000000000002,11.509,5.242,0.25199999999999995
1991,-1.3049999999999997,0.829,4.987,11.281,16.181,20.387,21.982000000000003,20.698999999999998,17.12,11.419,4.971,-0.21100000000000002
1992,-0.9059999999999997,0.79,5.252,10.379,15.905,19.572000000000003,21.106,20.122,16.241,10.786999999999999,4.306,0.08599999999999997
1993,-1.2469999999999999,0.904,5.495,10.645,16.134999999999998,19.971,21.594,20.4,16.487000000000002,11.171,3.8739999999999997,0.09399999999999997
1994,-1.6009999999999998,-0.442,5.4879999999999995,11.109,16.477999999999998,20.397000000000002,21.832,20.639,17.05,11.735999999999999,5.265,-0.08100000000000002
1995,-0.7669999999999999,2.033,5.554,11.258,16.413,20.580000000000002,21.835,21.09,17.244,11.883,5.304,0.011999999999999955
1996,-1.8019999999999998,0.939,4.903,10.466,16.387999999999998,20.05,21.869,20.416,16.619,10.972,4.918,0.25699999999999995
1997,-1.3249999999999997,0.88,5.728,11.17,16.342,20.388,21.848000000000003,20.869999999999997,17.226000000000003,11.825,5.0409999999999995,0.188
1998,-1.311,1.831,5.473,11.798,16.826,20.78,22.537000000000003,21.349,17.51,11.724,4.867999999999999,0.871
1999,-0.9799999999999998,2.098,4.889,11.46,16.498,20.357,22.059,20.801,17.284000000000002,11.664,5.335,1.095
2000,-1.4099999999999997,1.567,6.111,12.132,16.842,20.386000000000003,22.077,20.985999999999997,17.055,11.116999999999999,4.558,-0.269
2001,-1.1879999999999997,0.528,6.056,11.468,17.094,20.445,22.307000000000002,21.224999999999998,17.35,11.754,6.181,0.571
2002,-0.33599999999999985,2.203,6.407,11.009,16.457,20.662000000000003,22.488,21.012,17.457,11.395999999999999,5.494,-0.12300000000000003
2003,-0.5429999999999997,0.792,5.525,11.263,16.863,20.343,22.164,21.368,17.540000000000003,12.355,5.225,1.265
2004,-1.0519999999999998,1.563,6.072,11.274,16.404,20.242,21.806,20.7,17.229000000000003,11.743,6.018,-0.07200000000000001
2005,-0.8419999999999999,0.676,6.091,11.872,16.883,20.720000000000002,22.321,20.968,17.883000000000003,12.296,6.166,0.8859999999999999
2006,-1.3749999999999998,1.446,5.982,11.272,16.89,20.994,22.287000000000003,21.159,17.576,12.09,5.422,1.3179999999999998
2007,0.4330000000000003,1.209,6.028,12.121,17.041,20.661,22.313000000000002,21.304,17.463,12.110999999999999,5.713,0.734
2008,-1.882,0.664,6.864,11.437,16.778,20.657,22.142000000000003,21.037,17.228,12.187,5.9719999999999995,0.37299999999999994
2009,-0.7929999999999997,1.187,5.574,11.563,16.570999999999998,20.548000000000002,22.128,20.999,17.865000000000002,11.828,5.404,0.14499999999999996
2010,-0.9279999999999997,1.231,6.352,12.04,17.195,21.027,22.659000000000002,21.506999999999998,17.481,12.285,6.531,0.283
2011,-1.3729999999999998,0.635,5.84,11.797,16.849,20.915000000000003,22.479000000000003,21.282,17.647000000000002,12.235,5.218,0.8359999999999999
2012,-1.3539999999999996,0.522,5.5649999999999995,12.142,17.438,21.172,22.577,21.256999999999998,17.715,11.946,5.632,-0.338
